gluserid,First_Paid_Service,Todays Date,Tenurity_in_days,Mode,isdownloaded,company_name,query_execution_date,approved_products,mapped_mcats,turnover,gst,nob,state,total_bl_pur,last_3m_bl_pur,last_15_days_bl_pur,total_enq,last_3_month_enq,Total_enq_reply,reply_to_unique_sender,last_90_days_reply_to_unique_sender,last_3_month_irrelevent,bl_ni,total_tickets,deactivation_tickets,amount_paid_till_date,amount_paid_last_3_months,location_preference,MDC,Maxi,LSSS,PL,TS,Website,Zone
19992,03-05-2017,01-10-2018,516,Annual,1,Lakshmi Industrial Automation,14-Aug-18,53,49,Rs. 2 - 5 Crore,Y,Manufacturer,Tamil Nadu,1083,49,0,455,187,11,11,4,0,0,22,0,536332.02,32332,India,Yes,No,No,No,No,No,3
31203,08-06-2011,01-10-2018,2672,Annual,1,Hitek Automation,14-Aug-18,55,41,Rs. 5 - 10 Crore,Y,Wholesale Trader,Tamil Nadu,546,163,57,684,334,205,172,75,0,2,13,0,1275778.8,460200,India,No,No,Yes,No,No,No,3
32577,10-12-2010,01-10-2018,2852,Annual,1,Imaan Impex,14-Aug-18,41,24,Rs. 10 - 25 Crore,Y,Exporter,Tamil Nadu,574,20,0,940,303,21,20,1,0,0,14,2,2516217.91,731200,Global,No,Yes,No,No,Yes,No,4
37968,01-02-2014,01-10-2018,1703,Annual,1,Ganesh Agro Equipments,14-Aug-18,11,10,Rs. 10 - 25 Crore,Y,Manufacturer,Gujarat,251,38,9,3267,1212,294,185,146,1,0,1,0,337937.01,79650,India,Yes,No,No,No,No,No,2
42666,14-11-2008,01-10-2018,3608,Annual,1,Raghav Productivity Enhancers Limited,14-Aug-18,58,55,Rs. 50 - 100 Crore,Y,Manufacturer,Rajasthan,1498,148,36,2391,1210,478,334,13,0,0,21,0,3531549.22,967600,India,No,No,Yes,No,No,No,1
44358,21-11-2013,01-10-2018,1775,Annual,1,Atlas Engineering Company,14-Aug-18,343,156,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,2357,178,56,2251,997,1322,1049,509,143,119,20,0,1323578,680329,India,No,No,Yes,No,No,No,3
45642,12-03-2015,01-10-2018,1299,Annual,1,Sunrise Engitech Private Limited,14-Aug-18,25,21,Rs. 2 - 5 Crore,Y,Manufacturer,Maharashtra,866,150,35,1034,393,112,110,86,1,194,13,0,770853.21,489700,India,No,No,Yes,No,No,No,3
48310,27-04-2015,01-10-2018,1253,Annual,1,Modi Industries,14-Aug-18,400,318,Rs. 2 - 5 Crore,Y,Exporter,Maharashtra,4071,269,0,3509,215,51,44,15,0,0,15,1,2289400.02,1097400,Foreign,No,Yes,No,No,Yes,No,2
81085,22-12-2014,01-10-2018,1379,Annual,1,Glemtech Plast Private Limited,14-Aug-18,73,66,Rs. 1 - 2 Crore,Y,Manufacturer,Uttar Pradesh,1267,112,36,1561,448,2,2,0,0,0,21,0,1701720,897120,India,No,No,Yes,No,No,No,3
115475,03-05-2005,01-10-2018,4899,Annual,1,Rishabh Engineering Company,14-Aug-18,40,24,Rs. 10 - 25 Crore,Y,Manufacturer,Uttar Pradesh,3098,757,128,10116,4118,226,208,7,0,0,36,0,3313260.36,500320,India,No,No,Yes,No,No,No,3
